Table 1

CONTi                     R       Countable income from contributions
CSUPRTi                   R       Countable child support payment income
DEEMi                     R       Countable deemed income
DIVERi                    R       Countable State diversion payments
EDLOANi                   R       Countable income from educational grants and loans
EITCi                     R       Countable income from earned income tax credit
ENERGYi                   R       Countable energy assistance income
FOSTERi                   R       Countable foster child income
GAi                       R       Countable general assistance benefits
OTHERNi                   R       Countable other earned income
