feature,pred_0,pred_1
FSTANF,0.02,-0.02
REALPROP,0.0,0.0
FSSTDDE2,0.04,-0.04
FSASSET,-0.03,0.03
FSNELDER,0.0,-0.0
TANF_IND,0.02,-0.02
FSSLTDED,0.08,-0.08
LIQRESOR,-0.03,0.03
WRK_POOR,-0.01,0.01
RAWGROSS,0.0,-0.0
FSUNEARN,0.04,-0.04
FSGA,0.0,-0.0
CERTHHSZ,0.04,-0.04
FSSSI,0.01,-0.01
FSTOTDED,-0.05,0.05
FSSLTDE2,-0.0,0.0
FSDIS,0.0,0.0
FSERNDED,-0.01,0.01
RAWNET,-0.0,0.0
HWGT,0.09,-0.09
FSEARN,-0.01,0.01
FSGRINC,-0.0,0.0
FSUSIZE,0.02,-0.02
FSTOTDE2,0.01,-0.01
FSNETINC,-0.0,0.0
RAWERND,-0.0,0.0
FSNONCIT,0.05,-0.05
SHELDED,0.09,-0.09
TPOV,-0.01,0.01
FSERNDE2,-0.0,0.0
VEHICLEA,0.01,-0.01
FSVEHAST,0.0,0.0
