state,SHELDED,FSSLTDED,CERTHHSZ,FSTANF,FSTOTDED,FSUNEARN,FSSTDDE2,FSASSET,FSNONCIT,HWGT,FSERNDED,LIQRESOR,FSSSI,TANF_IND,FSUSIZE
Connecticut,584,584,1,0,744,920,240,0,0,3575,0,0,0,0,1
Connecticut,968,969,1,0,1171,1197,240,0,0,3704,42,0,0,0,1
Connecticut,969,969,1,0,1129,1278,240,0,0,3521,0,0,0,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,802,802,1,0,962,1113,240,0,0,3527,0,0,735,0,1
Connecticut,728,546,1,0,1049,0,240,0,0,4416,343,0,0,0,1
Connecticut,535,535,3,0,2299,860,24,0,0,2763,260,0,0,0,3
Connecticut,576,576,1,0,736,1011,240,0,0,3778,0,0,0,0,1
Connecticut,1054,1054,1,0,1214,909,0,0,0,3216,0,0,151,0,1
Connecticut,0,0,3,0,160,26,26,0,0,2763,0,0,0,0,3
Connecticut,966,966,1,0,1172,1331,240,0,0,3541,0,0,0,0,1
Connecticut,696,696,1,0,856,1250,240,0,0,4022,0,0,0,0,1
Connecticut,535,535,2,0,695,515,44,0,0,2962,0,0,0,0,2
Connecticut,535,535,1,0,899,0,160,0,0,3466,204,0,0,0,1
Connecticut,535,535,2,0,695,200,0,0,0,2962,0,0,0,0,2
Connecticut,517,535,1,0,695,650,115,0,0,3216,0,0,0,0,1
Connecticut,1341,1341,1,0,1501,1245,0,0,0,3216,0,0,490,0,1
Connecticut,535,535,6,0,843,1332,266,0,0,4294,80,0,0,0,6
Connecticut,335,335,4,0,765,0,255,0,0,3770,260,0,0,0,4
Connecticut,535,535,2,0,1068,0,160,0,0,4589,373,0,0,0,2
Connecticut,0,0,1,0,160,735,160,0,0,4389,0,0,735,0,1
Connecticut,535,535,1,0,940,0,160,0,0,3805,245,0,0,0,1
Connecticut,535,535,1,0,808,0,0,0,0,3216,113,0,0,0,1
Connecticut,831,831,1,0,991,754,3,0,0,3216,0,0,0,0,1
Connecticut,226,226,1,0,386,909,240,0,0,4280,0,0,735,0,1
Connecticut,561,561,1,0,908,0,240,0,0,3277,187,0,0,0,1
Connecticut,452,452,3,487,612,879,240,0,0,3312,0,0,0,1,3
Connecticut,1053,535,2,0,728,219,0,0,0,2962,33,0,0,0,2
Connecticut,535,535,3,0,1023,0,160,0,0,4024,328,0,0,0,3
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,535,535,2,0,695,0,0,0,0,2962,0,0,0,0,2
Connecticut,535,535,3,597,695,647,112,0,0,2763,0,0,0,1,3
Connecticut,945,945,1,0,1105,826,0,0,0,3216,0,0,652,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,0,0,4,0,170,0,0,0,0,2672,0,0,0,0,4
Connecticut,321,321,4,0,491,1267,255,0,0,4252,0,0,735,0,4
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,741,741,1,0,901,735,74,0,0,3216,0,0,735,0,1
Connecticut,535,535,4,0,705,0,0,0,0,2672,0,0,0,0,4
Connecticut,535,535,3,0,1456,0,160,0,0,3698,383,0,0,0,3
Connecticut,648,648,1,0,808,755,187,0,0,3216,0,0,187,0,1
Connecticut,535,535,3,0,695,533,68,0,0,2763,0,0,0,0,3
Connecticut,535,535,3,0,861,782,160,0,0,4295,166,0,0,0,3
Connecticut,596,596,1,0,756,1085,240,0,0,3887,0,0,0,0,1
Connecticut,535,535,4,0,705,0,0,0,1,2672,0,0,0,0,4
Connecticut,572,571,1,0,731,756,240,0,0,3270,0,0,115,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,491,491,1,0,651,1260,240,0,0,4416,0,0,0,0,1
Connecticut,573,573,2,0,733,2370,240,0,0,5247,0,0,0,0,2
Connecticut,535,535,1,0,799,0,0,0,0,3216,104,0,0,0,1
Connecticut,535,535,1,0,867,0,153,0,0,3216,172,0,0,0,1
Connecticut,781,781,2,0,941,2004,240,0,1,5125,0,0,0,0,2
Connecticut,388,388,3,0,1287,0,240,0,0,4621,439,0,0,0,3
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,587,587,1,0,747,765,240,0,0,3256,0,0,0,0,1
Connecticut,630,630,1,0,790,735,185,0,0,3216,0,0,735,0,1
Connecticut,570,570,1,0,730,676,186,0,0,3216,0,0,490,0,1
Connecticut,602,516,2,0,676,1364,240,0,0,4366,0,0,0,0,2
Connecticut,539,539,1,0,1095,103,240,0,0,4416,396,0,103,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,675,675,1,0,835,717,122,0,0,3216,0,0,0,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3216,0,0,0,0,1
Connecticut,535,535,2,0,1328,0,160,0,0,4020,369,0,0,0,2
Connecticut,535,535,3,0,833,0,18,0,0,2763,138,0,0,0,3
Connecticut,484,484,1,0,644,1128,240,0,0,4206,0,0,0,0,1
Connecticut,631,631,1,0,791,994,240,0,0,3724,0,0,0,0,1
Connecticut,873,873,1,0,1128,989,240,0,0,4134,95,0,0,0,1
Connecticut,535,535,2,162,695,162,0,0,0,2751,0,0,0,1,2
Connecticut,684,684,1,0,844,949,240,0,0,3434,0,0,0,0,1
Connecticut,535,535,1,0,695,0,0,0,0,3114,0,0,0,0,1
Connecticut,700,700,1,0,860,967,240,0,0,3444,0,0,0,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3114,0,0,0,0,1
Connecticut,0,0,1,0,160,0,0,0,0,3114,0,0,0,0,1
Connecticut,535,535,1,0,695,0,0,0,0,3114,0,0,0,0,1
Connecticut,890,883,2,0,1043,751,0,0,0,2751,0,0,735,0,2
Connecticut,763,763,1,0,923,490,0,0,0,3114,0,0,490,0,1
Connecticut,1227,1278,1,0,1786,909,0,0,0,3114,100,0,0,0,1
Connecticut,1101,1101,1,0,1261,715,0,0,0,3114,0,0,0,0,1
Connecticut,315,316,7,0,544,1445,342,0,0,5081,0,0,1249,0,7
Connecticut,535,535,1,0,833,0,80,0,0,3114,138,0,0,0,1
Connecticut,535,535,1,0,695,0,0,0,0,3114,0,0,0,0,1
Connecticut,606,606,1,0,766,1305,240,0,0,4734,0,0,0,0,1
Connecticut,535,535,1,0,695,0,0,0,0,3114,0,0,0,0,1
Connecticut,535,535,2,0,1138,0,160,0,0,5993,443,0,0,0,2
Connecticut,1182,1182,5,487,1381,1242,160,0,0,2384,0,0,238,1,5
Connecticut,675,675,2,0,835,1266,240,0,1,4052,0,0,0,0,2
Connecticut,458,458,2,0,866,0,240,0,0,3882,248,0,0,0,2
Connecticut,552,552,1,0,712,917,240,0,0,3734,0,0,0,0,1
Connecticut,535,535,2,0,695,271,0,0,0,2751,0,0,0,0,2
